Model loaded successfully from 'datasets/dummy15.txt'
***NEW BEST = 2867009.9471489345***
========= SOLUTION ==========
88 0 7998.0
88 242 8641.3
88 99 8747.8
88 55 9314.3
88 147 9502.3
88 235 9928.3
89 0 7998.0
89 265 8698.3
89 433 8841.3
89 86 8987.1
89 487 9335.1
89 165 9602.7
90 0 7998.0
90 301 8780.1
90 225 9390.8
90 193 9750.0
90 40 10269.4
90 270 10357.5
91 0 7998.0
91 364 8765.5
91 491 9605.4
91 163 10123.7
91 355 10456.2
91 500 10960.4
92 0 7998.0
92 239 8491.7
92 307 8818.2
92 344 9300.4
92 103 9646.7
92 490 9995.0
93 0 7998.0
93 264 8348.5
93 365 9103.8
93 223 9537.8
93 457 10112.4
93 495 10347.3
94 0 7998.0
94 250 8812.7
94 437 9213.7
94 26 9419.7
94 49 9842.1
94 252 10570.7
95 0 7998.0
95 29 8848.5
95 377 9454.0
95 215 9956.4
95 77 10423.2
95 397 11146.0
96 0 7998.0
96 251 8397.4
96 381 8708.2
96 70 9512.6
96 483 9960.2
96 268 10383.3
97 0 7998.0
97 128 8513.0
97 182 8990.1
97 134 9145.4
97 424 9772.4
97 126 10353.9
98 0 7998.0
98 296 8723.6
98 37 9462.0
98 262 9719.4
98 354 10113.0
98 373 10502.6
99 0 7998.0
99 67 8514.6
99 12 8832.6
99 402 9133.8
99 127 9250.8
99 472 9647.5
==========================
========= SOLUTION (description) ==========
Bus 0
	t=3600.7	PUB ->  (321) t=4311.1
	t=4311.1	(321) ->  (181) t=4708.6
	t=4708.6	(181) ->  (305) t=5376.6
	t=5376.6	(305) ->  (87) t=5976.1
	t=5976.1	(87) ->  (280) t=6428.0
	t=6428.0	(280) ->  PUB
Bus 1
	t=4879.4	PUB ->  (330) t=5374.5
	t=5374.5	(330) ->  (25) t=5748.3
	t=5748.3	(25) ->  (114) t=6111.2
	t=6111.2	(114) ->  (202) t=6742.4
	t=6742.4	(202) ->  (214) t=7361.0
	t=7361.0	(214) ->  PUB
Bus 2
	t=3868.7	PUB ->  (115) t=4671.6
	t=4671.6	(115) ->  (442) t=4778.4
	t=4778.4	(442) ->  (184) t=5274.1
	t=5274.1	(184) ->  (335) t=5920.5
	t=5920.5	(335) ->  (10) t=6263.0
	t=6263.0	(10) ->  PUB
Bus 3
	t=4923.8	PUB ->  (395) t=5113.8
	t=5113.8	(395) ->  (36) t=5813.1
	t=5813.1	(36) ->  (42) t=6338.5
	t=6338.5	(42) ->  (275) t=7047.8
	t=7047.8	(275) ->  (347) t=7476.0
	t=7476.0	(347) ->  PUB
Bus 4
	t=4418.2	PUB ->  (498) t=4933.0
	t=4933.0	(498) ->  (479) t=5268.2
	t=5268.2	(479) ->  (480) t=5902.0
	t=5902.0	(480) ->  (411) t=6478.0
	t=6478.0	(411) ->  (229) t=6956.2
	t=6956.2	(229) ->  PUB
Bus 5
	t=3862.3	PUB ->  (455) t=4338.0
	t=4338.0	(455) ->  (167) t=4520.5
	t=4520.5	(167) ->  (93) t=4886.4
	t=4886.4	(93) ->  (309) t=5387.9
	t=5387.9	(309) ->  (328) t=5866.2
	t=5866.2	(328) ->  PUB
Bus 6
	t=3711.4	PUB ->  (222) t=4412.8
	t=4412.8	(222) ->  (217) t=4777.5
	t=4777.5	(217) ->  (462) t=5062.4
	t=5062.4	(462) ->  (339) t=5640.9
	t=5640.9	(339) ->  (61) t=6393.0
	t=6393.0	(61) ->  PUB
Bus 7
	t=3211.0	PUB ->  (80) t=4225.2
	t=4225.2	(80) ->  (467) t=4941.6
	t=4941.6	(467) ->  (496) t=5407.0
	t=5407.0	(496) ->  (245) t=5841.8
	t=5841.8	(245) ->  (254) t=6439.0
	t=6439.0	(254) ->  PUB
Bus 8
	t=7998.0	PUB ->  (112) t=8686.3
	t=8686.3	(112) ->  (497) t=9025.0
	t=9025.0	(497) ->  (142) t=9449.9
	t=9449.9	(142) ->  (60) t=9763.7
	t=9763.7	(60) ->  (148) t=9882.8
	t=9882.8	(148) ->  PUB
Bus 9
	t=7998.0	PUB ->  (284) t=8371.6
	t=8371.6	(284) ->  (56) t=8801.0
	t=8801.0	(56) ->  (439) t=9212.8
	t=9212.8	(439) ->  (440) t=9397.0
	t=9397.0	(440) ->  (350) t=9593.1
	t=9593.1	(350) ->  PUB
Bus 10
	t=7998.0	PUB ->  (358) t=8762.6
	t=8762.6	(358) ->  (113) t=9682.9
	t=9682.9	(113) ->  (238) t=10591.6
	t=10591.6	(238) ->  (450) t=10880.6
	t=10880.6	(450) ->  (290) t=11344.6
	t=11344.6	(290) ->  PUB
Bus 11
	t=7998.0	PUB ->  (267) t=8370.0
	t=8370.0	(267) ->  (384) t=8669.2
	t=8669.2	(384) ->  (180) t=8895.0
	t=8895.0	(180) ->  (356) t=9167.4
	t=9167.4	(356) ->  (44) t=9440.3
	t=9440.3	(44) ->  PUB
Bus 12
	t=7998.0	PUB ->  (499) t=8078.1
	t=8078.1	(499) ->  (213) t=8274.4
	t=8274.4	(213) ->  (88) t=8933.3
	t=8933.3	(88) ->  (176) t=9131.5
	t=9131.5	(176) ->  (341) t=9703.1
	t=9703.1	(341) ->  PUB
Bus 13
	t=7998.0	PUB ->  (414) t=8540.0
	t=8540.0	(414) ->  (337) t=8793.4
	t=8793.4	(337) ->  (421) t=9024.8
	t=9024.8	(421) ->  (391) t=9438.9
	t=9438.9	(391) ->  (370) t=9687.3
	t=9687.3	(370) ->  PUB
Bus 14
	t=7998.0	PUB ->  (172) t=8516.4
	t=8516.4	(172) ->  (13) t=8928.1
	t=8928.1	(13) ->  (420) t=9351.7
	t=9351.7	(420) ->  (241) t=9571.0
	t=9571.0	(241) ->  (52) t=10003.6
	t=10003.6	(52) ->  PUB
Bus 15
	t=7998.0	PUB ->  (84) t=8121.5
	t=8121.5	(84) ->  (201) t=8471.1
	t=8471.1	(201) ->  (407) t=9167.7
	t=9167.7	(407) ->  (226) t=9651.8
	t=9651.8	(226) ->  (360) t=10412.6
	t=10412.6	(360) ->  PUB
Bus 16
	t=7998.0	PUB ->  (162) t=8648.4
	t=8648.4	(162) ->  (393) t=8930.9
	t=8930.9	(393) ->  (368) t=8989.8
	t=8989.8	(368) ->  (287) t=9480.1
	t=9480.1	(287) ->  (6) t=9924.9
	t=9924.9	(6) ->  PUB
Bus 17
	t=7998.0	PUB ->  (255) t=8740.2
	t=8740.2	(255) ->  (475) t=9290.2
	t=9290.2	(475) ->  (336) t=9632.8
	t=9632.8	(336) ->  (266) t=9795.4
	t=9795.4	(266) ->  (343) t=10289.6
	t=10289.6	(343) ->  PUB
Bus 18
	t=7998.0	PUB ->  (447) t=8264.3
	t=8264.3	(447) ->  (293) t=8753.0
	t=8753.0	(293) ->  (351) t=9162.5
	t=9162.5	(351) ->  (220) t=9501.8
	t=9501.8	(220) ->  (11) t=9888.7
	t=9888.7	(11) ->  PUB
Bus 19
	t=7998.0	PUB ->  (417) t=8934.8
	t=8934.8	(417) ->  (65) t=9229.2
	t=9229.2	(65) ->  (243) t=9747.4
	t=9747.4	(243) ->  (132) t=10374.4
	t=10374.4	(132) ->  (247) t=10586.6
	t=10586.6	(247) ->  PUB
Bus 20
	t=7998.0	PUB ->  (218) t=8726.6
	t=8726.6	(218) ->  (481) t=9104.2
	t=9104.2	(481) ->  (19) t=9439.4
	t=9439.4	(19) ->  (366) t=9853.0
	t=9853.0	(366) ->  (62) t=10137.6
	t=10137.6	(62) ->  PUB
Bus 21
	t=7998.0	PUB ->  (230) t=8956.1
	t=8956.1	(230) ->  (173) t=9201.7
	t=9201.7	(173) ->  (111) t=9833.9
	t=9833.9	(111) ->  (47) t=10405.1
	t=10405.1	(47) ->  (200) t=11063.7
	t=11063.7	(200) ->  PUB
Bus 22
	t=7998.0	PUB ->  (298) t=8794.8
	t=8794.8	(298) ->  (425) t=8994.1
	t=8994.1	(425) ->  (458) t=9504.0
	t=9504.0	(458) ->  (289) t=9682.1
	t=9682.1	(289) ->  (444) t=9960.2
	t=9960.2	(444) ->  PUB
Bus 23
	t=7998.0	PUB ->  (135) t=8487.5
	t=8487.5	(135) ->  (28) t=8767.1
	t=8767.1	(28) ->  (306) t=9052.4
	t=9052.4	(306) ->  (72) t=9213.0
	t=9213.0	(72) ->  (482) t=9645.2
	t=9645.2	(482) ->  PUB
Bus 24
	t=7998.0	PUB ->  (33) t=8435.1
	t=8435.1	(33) ->  (78) t=8761.0
	t=8761.0	(78) ->  (71) t=9411.3
	t=9411.3	(71) ->  (32) t=9822.3
	t=9822.3	(32) ->  (30) t=10202.4
	t=10202.4	(30) ->  PUB
Bus 25
	t=7998.0	PUB ->  (168) t=8738.7
	t=8738.7	(168) ->  (46) t=9202.2
	t=9202.2	(46) ->  (292) t=9464.7
	t=9464.7	(292) ->  (302) t=9863.2
	t=9863.2	(302) ->  (392) t=10625.6
	t=10625.6	(392) ->  PUB
Bus 26
	t=7998.0	PUB ->  (271) t=8267.9
	t=8267.9	(271) ->  (382) t=8834.5
	t=8834.5	(382) ->  (228) t=9555.1
	t=9555.1	(228) ->  (316) t=9880.1
	t=9880.1	(316) ->  (398) t=10486.5
	t=10486.5	(398) ->  PUB
Bus 27
	t=7998.0	PUB ->  (190) t=8913.3
	t=8913.3	(190) ->  (92) t=9445.2
	t=9445.2	(92) ->  (197) t=9754.3
	t=9754.3	(197) ->  (208) t=10276.3
	t=10276.3	(208) ->  (244) t=11001.9
	t=11001.9	(244) ->  PUB
Bus 28
	t=7998.0	PUB ->  (75) t=8651.7
	t=8651.7	(75) ->  (27) t=9078.3
	t=9078.3	(27) ->  (438) t=9495.2
	t=9495.2	(438) ->  (294) t=9829.7
	t=9829.7	(294) ->  (489) t=10538.8
	t=10538.8	(489) ->  PUB
Bus 29
	t=7998.0	PUB ->  (189) t=8798.4
	t=8798.4	(189) ->  (367) t=9184.5
	t=9184.5	(367) ->  (18) t=9579.3
	t=9579.3	(18) ->  (159) t=10116.6
	t=10116.6	(159) ->  (38) t=10507.7
	t=10507.7	(38) ->  PUB
Bus 30
	t=7998.0	PUB ->  (387) t=8692.0
	t=8692.0	(387) ->  (484) t=9585.1
	t=9585.1	(484) ->  (89) t=9870.5
	t=9870.5	(89) ->  (123) t=10150.8
	t=10150.8	(123) ->  (203) t=10363.7
	t=10363.7	(203) ->  PUB
Bus 31
	t=7998.0	PUB ->  (51) t=8780.0
	t=8780.0	(51) ->  (379) t=9561.4
	t=9561.4	(379) ->  (106) t=9885.9
	t=9885.9	(106) ->  (73) t=10158.7
	t=10158.7	(73) ->  (460) t=11004.7
	t=11004.7	(460) ->  PUB
Bus 32
	t=7998.0	PUB ->  (323) t=8742.8
	t=8742.8	(323) ->  (464) t=9457.1
	t=9457.1	(464) ->  (166) t=9925.9
	t=9925.9	(166) ->  (64) t=10736.4
